expected,actual,error,max_error,pass
1.1035153794582193,1.1035153794582193,0.0,1.1035153794582194e-10,True
0.5203037208544026,0.5203037208544027,1.1102230246251565e-16,5.2030372085440256e-11,True
-0.6138289798532713,-0.6138289798532713,0.0,6.138289798532714e-11,True
0.7861251839046045,0.7861251839046045,0.0,7.861251839046046e-11,True
-0.6014366706156868,-0.6014366706156868,0.0,6.014366706156868e-11,True
-0.13834163324634624,-0.13834163324634627,2.7755575615628914e-17,1.3834163324634624e-11,True
0.3571933795553952,0.3571933795553952,0.0,3.571933795553952e-11,True
0.8705813809195436,0.8705813809195436,0.0,8.705813809195437e-11,True
-0.4430963184801363,-0.4430963184801363,0.0,4.4309631848013635e-11,True
-0.550912508348657,-0.550912508348657,0.0,5.50912508348657e-11,True
-0.14741341954449172,-0.1474134195444917,2.7755575615628914e-17,1.4741341954449172e-11,True
-1.0528400951102637,-1.0528400951102637,0.0,1.0528400951102637e-10,True
0.2774390108079782,0.2774390108079782,0.0,2.7743901080797825e-11,True
-0.627678861808675,-0.627678861808675,0.0,6.27678861808675e-11,True
0.3908047367603128,0.39080473676031285,5.551115123125783e-17,3.908047367603128e-11,True
0.24807765505680543,0.24807765505680543,0.0,2.4807765505680545e-11,True
0.1254565628960853,0.1254565628960853,0.0,1.2545656289608532e-11,True
-0.8926389142999999,-0.8926389142999999,0.0,8.926389143e-11,True
0.22406807272961926,0.22406807272961926,0.0,2.2406807272961927e-11,True
-1.3409547757959999,-1.3409547757959999,0.0,1.340954775796e-10,True
0.5183582389458752,0.5183582389458752,0.0,5.183582389458752e-11,True
-0.49601801484194086,-0.49601801484194086,0.0,4.960180148419409e-11,True
0.1951999627134915,0.19519996271349152,2.7755575615628914e-17,1.951999627134915e-11,True
1.7858856209884593,1.7858856209884593,0.0,1.7858856209884592e-10,True
1.0638288422250644,1.0638288422250644,0.0,1.0638288422250644e-10,True
0.6421036967814259,0.6421036967814259,0.0,6.421036967814259e-11,True
-0.9630861936228117,-0.9630861936228118,1.1102230246251565e-16,9.630861936228117e-11,True
0.45351553488691787,0.45351553488691787,0.0,4.535155348869179e-11,True
1.0016252575891398,1.0016252575891398,0.0,1.0016252575891399e-10,True
-0.7093902441288062,-0.7093902441288062,0.0,7.093902441288063e-11,True
0.6094615298182757,0.6094615298182757,0.0,6.094615298182758e-11,True
1.4670474965725289,1.467047496572529,2.220446049250313e-16,1.467047496572529e-10,True
1.1430007434667073,1.1430007434667073,0.0,1.1430007434667074e-10,True
