op_name,shape,count
aten::add,"[[128, 3, 49, 49], [1, 3, 49, 49], []]",200
aten::add,"[[128, 6, 49, 49], [1, 6, 49, 49], []]",200
aten::add,"[[159882], [159882], []]",200
aten::add,"[[16, 6, 49, 49], [1, 6, 49, 49], []]",200
aten::add,"[[2, 24, 49, 49], [1, 24, 49, 49], []]",200
aten::add,"[[2, 28, 28, 256], [2, 28, 28, 256], []]",200
aten::add,"[[2, 56, 56, 128], [2, 56, 56, 128], []]",200
aten::add,"[[2, 7, 7, 1024], [2, 7, 7, 1024], []]",200
aten::add,"[[256, 3, 49, 49], [1, 3, 49, 49], []]",200
aten::add,"[[32, 6, 49, 49], [1, 6, 49, 49], []]",200
aten::add,"[[4, 24, 49, 49], [1, 24, 49, 49], []]",200
aten::add,"[[4, 28, 28, 256], [4, 28, 28, 256], []]",200
aten::add,"[[4, 56, 56, 128], [4, 56, 56, 128], []]",200
aten::add,"[[4, 7, 7, 1024], [4, 7, 7, 1024], []]",200
aten::add,"[[512, 3, 49, 49], [1, 3, 49, 49], []]",200
aten::add,"[[64, 3, 49, 49], [1, 3, 49, 49], []]",200
aten::add,"[[64, 6, 49, 49], [1, 6, 49, 49], []]",200
aten::add,"[[8, 24, 49, 49], [1, 24, 49, 49], []]",200
aten::add,"[[8, 28, 28, 256], [8, 28, 28, 256], []]",200
aten::add,"[[8, 56, 56, 128], [8, 56, 56, 128], []]",200
aten::add,"[[8, 7, 7, 1024], [8, 7, 7, 1024], []]",200
aten::add,"[[1, 100, 256], [1, 100, 256], []]",120
aten::add,"[[1, 128, 200, 200], [1, 128, 1, 1], []]",100
aten::add,"[[1, 16, 6, 49, 49], [1, 16, 1, 49, 49], []]",100
aten::add,"[[1, 256, 100, 100], [1, 256, 1, 1], []]",100
aten::add,"[[1, 256, 100, 100], [1, 256, 100, 100], []]",100
aten::add,"[[1, 256, 200, 200], [1, 256, 200, 200], []]",100
aten::add,"[[1, 256, 50, 50], [1, 256, 50, 50], []]",100
aten::add,"[[1, 32, 49, 49], [1, 32, 49, 49], []]",100
aten::add,"[[1, 507], [], []]",100
aten::add,"[[1, 512, 50, 50], [1, 512, 1, 1], []]",100
aten::add,"[[1, 64, 3, 49, 49], [1, 64, 1, 49, 49], []]",100
aten::add,"[[1, 64, 400, 400], [1, 64, 1, 1], []]",100
aten::add,"[[10000, 1, 4], [1, 3, 4], []]",100
aten::add,"[[128, 4, 49, 49], [1, 4, 49, 49], []]",100
aten::add,"[[128, 8, 49, 49], [1, 8, 49, 49], []]",100
aten::add,"[[16, 8, 49, 49], [1, 8, 49, 49], []]",100
aten::add,"[[169, 1, 4], [1, 3, 4], []]",100
aten::add,"[[2, 16, 6, 49, 49], [1, 16, 1, 49, 49], []]",100
aten::add,"[[2, 32, 49, 49], [1, 32, 49, 49], []]",100
aten::add,"[[2, 64, 3, 49, 49], [1, 64, 1, 49, 49], []]",100
aten::add,"[[2500, 1, 4], [1, 3, 4], []]",100
aten::add,"[[256, 4, 49, 49], [1, 4, 49, 49], []]",100
aten::add,"[[32, 8, 49, 49], [1, 8, 49, 49], []]",100
aten::add,"[[4, 16, 6, 49, 49], [1, 16, 1, 49, 49], []]",100
aten::add,"[[4, 32, 49, 49], [1, 32, 49, 49], []]",100
aten::add,"[[4, 64, 3, 49, 49], [1, 64, 1, 49, 49], []]",100
aten::add,"[[40000, 1, 4], [1, 3, 4], []]",100
aten::add,"[[512, 4, 49, 49], [1, 4, 49, 49], []]",100
aten::add,"[[625, 1, 4], [1, 3, 4], []]",100
aten::add,"[[64, 4, 49, 49], [1, 4, 49, 49], []]",100
aten::add,"[[64, 8, 49, 49], [1, 8, 49, 49], []]",100
aten::add,"[[8, 16, 6, 49, 49], [1, 16, 1, 49, 49], []]",100
aten::add,"[[8, 32, 49, 49], [1, 32, 49, 49], []]",100
aten::add,"[[8, 64, 3, 49, 49], [1, 64, 1, 49, 49], []]",100
aten::add,"[[1, 256, 3072], [1, 256, 3072], []]",96
aten::add,"[[1, 256, 3072], [], []]",96
aten::add,"[[1, 3400, 512], [1, 3400, 512], []]",72
aten::add,"[[1, 850, 256], [1, 850, 256], []]",60
aten::add,"[[1, 16, 8, 49, 49], [1, 16, 1, 49, 49], []]",50
aten::add,"[[1, 64, 4, 49, 49], [1, 64, 1, 49, 49], []]",50
aten::add,"[[2, 16, 8, 49, 49], [1, 16, 1, 49, 49], []]",50
aten::add,"[[2, 197, 1024], [1, 197, 1024], []]",50
aten::add,"[[2, 197, 768], [1, 197, 768], []]",50
aten::add,"[[2, 257, 1280], [1, 257, 1280], []]",50
aten::add,"[[2, 64, 4, 49, 49], [1, 64, 1, 49, 49], []]",50
aten::add,"[[4, 16, 8, 49, 49], [1, 16, 1, 49, 49], []]",50
aten::add,"[[4, 197, 1024], [1, 197, 1024], []]",50
aten::add,"[[4, 197, 768], [1, 197, 768], []]",50
aten::add,"[[4, 257, 1280], [1, 257, 1280], []]",50
aten::add,"[[4, 64, 4, 49, 49], [1, 64, 1, 49, 49], []]",50
aten::add,"[[8, 16, 8, 49, 49], [1, 16, 1, 49, 49], []]",50
aten::add,"[[8, 197, 1024], [1, 197, 1024], []]",50
aten::add,"[[8, 197, 768], [1, 197, 768], []]",50
aten::add,"[[8, 257, 1280], [1, 257, 1280], []]",50
aten::add,"[[8, 64, 4, 49, 49], [1, 64, 1, 49, 49], []]",50
aten::add,"[[30, 16, 144, 144], [1, 16, 144, 144], []]",36
aten::add,"[[1, 256, 50, 68], [1, 256, 1, 1], []]",22
aten::add,"[[1, 30, 16, 144, 144], [1, 30, 1, 144, 144], []]",18
aten::add,"[[1, 1024, 50, 68], [1, 1024, 1, 1], []]",14
aten::add,"[[1, 128, 100, 136], [1, 128, 1, 1], []]",14
aten::add,"[[1, 64, 200, 272], [1, 64, 1, 1], []]",12
aten::add,"[[1, 8, 100, 850], [1, 1, 100, 850], []]",12
aten::add,"[[1, 8, 850, 850], [1, 1, 850, 850], []]",12
aten::add,"[[1, 512, 100, 136], [1, 512, 1, 1], []]",10
aten::add,"[[1, 512, 25, 34], [1, 512, 1, 1], []]",10
aten::add,"[[1, 1024, 160], [1, 1024, 160], []]",8
aten::add,"[[1, 13600, 256], [1, 13600, 256], []]",8
aten::add,"[[1, 16384, 32], [1, 16384, 32], []]",8
aten::add,"[[1, 2048, 25, 34], [1, 2048, 1, 1], []]",8
aten::add,"[[1, 256, 200, 272], [1, 256, 1, 1], []]",8
aten::add,"[[1, 256, 256], [1, 256, 256], []]",8
aten::add,"[[1, 4096, 64], [1, 4096, 64], []]",8
aten::add,"[[1, 54400, 128], [1, 54400, 128], []]",8
aten::add,"[[1, 850, 1024], [1, 850, 1024], []]",8
aten::add,"[[1, 1, 34], [], []]",4
aten::add,"[[1, 25, 1], [], []]",4
aten::add,"[[108, 8, 144, 144], [1, 8, 144, 144], []]",4
aten::add,"[[391, 4, 144, 144], [1, 4, 144, 144], []]",4
aten::add,"[[9, 32, 144, 144], [1, 32, 144, 144], []]",4
aten::add,"[[1, 1, 136], [], []]",2
aten::add,"[[1, 1, 272], [], []]",2
aten::add,"[[1, 1, 68], [], []]",2
aten::add,"[[1, 100, 1], [], []]",2
aten::add,"[[1, 108, 8, 144, 144], [1, 108, 1, 144, 144], []]",2
aten::add,"[[1, 128, 200, 272], [1, 128, 1, 1], []]",2
aten::add,"[[1, 200, 1], [], []]",2
aten::add,"[[1, 256, 100, 136], [1, 256, 1, 1], []]",2
aten::add,"[[1, 391, 4, 144, 144], [1, 391, 1, 144, 144], []]",2
aten::add,"[[1, 50, 1], [], []]",2
aten::add,"[[1, 512, 50, 68], [1, 512, 1, 1], []]",2
aten::add,"[[1, 64, 400, 544], [1, 64, 1, 1], []]",2
aten::add,"[[1, 9, 32, 144, 144], [1, 9, 1, 144, 144], []]",2
aten::add_,"[[1, 1024, 50, 50], [1, 1024, 50, 50], []]",600
aten::add_,"[[1, 512, 100, 100], [1, 512, 100, 100], []]",400
aten::add_,"[[1, 2048, 25, 25], [1, 2048, 25, 25], []]",300
aten::add_,"[[1, 256, 100, 100], [1, 256, 1, 1], []]",300
aten::add_,"[[1, 256, 200, 200], [1, 256, 1, 1], []]",300
aten::add_,"[[1, 256, 200, 200], [1, 256, 200, 200], []]",300
