model,batch_size,seq_len,op_name,shape,count
maskformer-base,1,,aten::reshape,"[[1, 850, 256], []]",24
maskformer-base,1,,aten::reshape,"[[1, 850, 4096], []]",4
maskformer-base,1,,aten::reshape,"[[100, 256, 1, 1, 1], []]",2
maskformer-base,1,,aten::reshape,"[[108, 144, 256], []]",16
maskformer-base,1,,aten::reshape,"[[108, 8, 144, 144], []]",4
maskformer-base,1,,aten::reshape,"[[108, 8, 144, 32], []]",8
maskformer-base,1,,aten::reshape,"[[108, 8, 32, 144], []]",4
maskformer-base,1,,aten::reshape,"[[128], []]",2
maskformer-base,1,,aten::reshape,"[[20736], []]",48
maskformer-base,1,,aten::reshape,"[[256, 1, 200, 272, 1], []]",2
maskformer-base,1,,aten::reshape,"[[256], []]",4
maskformer-base,1,,aten::reshape,"[[30, 144, 512], []]",144
maskformer-base,1,,aten::reshape,"[[30, 16, 144, 144], []]",36
maskformer-base,1,,aten::reshape,"[[30, 16, 144, 32], []]",72
maskformer-base,1,,aten::reshape,"[[30, 16, 32, 144], []]",36
maskformer-base,1,,aten::reshape,"[[391, 144, 128], []]",16
maskformer-base,1,,aten::reshape,"[[391, 4, 144, 144], []]",4
maskformer-base,1,,aten::reshape,"[[391, 4, 144, 32], []]",8
maskformer-base,1,,aten::reshape,"[[391, 4, 32, 144], []]",4
maskformer-base,1,,aten::reshape,"[[9, 144, 1024], []]",16
maskformer-base,1,,aten::reshape,"[[9, 32, 144, 144], []]",4
maskformer-base,1,,aten::reshape,"[[9, 32, 144, 32], []]",8
maskformer-base,1,,aten::reshape,"[[9, 32, 32, 144], []]",4
maskformer-base,1,,aten::roll,"[[1, 108, 144, 256], [], []]",12
maskformer-base,1,,aten::roll,"[[1, 204, 276, 128], [], []]",12
maskformer-base,1,,aten::roll,"[[1, 36, 36, 1024], [], []]",12
maskformer-base,1,,aten::roll,"[[1, 60, 72, 512], [], []]",108
maskformer-base,1,,aten::sin,"[[1, 25, 34, 64]]",4
maskformer-base,1,,aten::slice,"[[1, 1, 34], [], [], [], []]",2
maskformer-base,1,,aten::slice,"[[1, 100, 136, 128], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 100, 136, 256], [], [], [], []]",20
maskformer-base,1,,aten::slice,"[[1, 100, 144, 256], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 100, 272, 128], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 108, 144, 1], [], [], [], []]",36
maskformer-base,1,,aten::slice,"[[1, 108, 144, 256], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 192, 264, 1], [], [], [], []]",2
maskformer-base,1,,aten::slice,"[[1, 192, 276, 1], [], [], [], []]",6
maskformer-base,1,,aten::slice,"[[1, 192, 6, 1], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 200, 272, 128], [], [], [], []]",20
maskformer-base,1,,aten::slice,"[[1, 200, 276, 128], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 204, 276, 128], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 204, 276, 1], [], [], [], []]",36
maskformer-base,1,,aten::slice,"[[1, 24, 24, 1], [], [], [], []]",2
maskformer-base,1,,aten::slice,"[[1, 24, 36, 1], [], [], [], []]",6
maskformer-base,1,,aten::slice,"[[1, 24, 6, 1], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 25, 34, 1024], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 25, 34, 128], [], [], [], []]",32
maskformer-base,1,,aten::slice,"[[1, 25, 34, 512], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 25, 34, 64, 2], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 25, 34], [], [], [], []]",22
maskformer-base,1,,aten::slice,"[[1, 25, 36, 1024], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 25, 68, 512], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 36, 36, 1024], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 36, 36, 1], [], [], [], []]",36
maskformer-base,1,,aten::slice,"[[1, 48, 6, 1], [], [], [], []]",36
maskformer-base,1,,aten::slice,"[[1, 48, 60, 1], [], [], [], []]",18
maskformer-base,1,,aten::slice,"[[1, 48, 72, 1], [], [], [], []]",54
maskformer-base,1,,aten::slice,"[[1, 50, 136, 256], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 50, 68, 256], [], [], [], []]",8
maskformer-base,1,,aten::slice,"[[1, 50, 68, 512], [], [], [], []]",52
maskformer-base,1,,aten::slice,"[[1, 50, 72, 512], [], [], [], []]",72
maskformer-base,1,,aten::slice,"[[1, 6, 132, 1], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 6, 144, 1], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 6, 24, 1], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 6, 264, 1], [], [], [], []]",4
maskformer-base,1,,aten::slice,"[[1, 6, 276, 1], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 6, 36, 1], [], [], [], []]",12
maskformer-base,1,,aten::slice,"[[1, 6, 6, 1], [], [], [], []]",96
maskformer-base,1,,aten::slice,"[[1, 6, 60, 1], [], [], [], []]",36
maskformer-base,1,,aten::slice,"[[1, 6, 72, 1], [], [], [], []]",108
maskformer-base,1,,aten::slice,"[[1, 60, 72, 1], [], [], [], []]",324
maskformer-base,1,,aten::slice,"[[1, 60, 72, 512], [], [], [], []]",108
maskformer-base,1,,aten::slice,"[[1, 96, 132, 1], [], [], [], []]",2
maskformer-base,1,,aten::slice,"[[1, 96, 144, 1], [], [], [], []]",6
maskformer-base,1,,aten::slice,"[[1, 96, 6, 1], [], [], [], []]",4
maskformer-base,1,,aten::softmax,"[[108, 8, 144, 144], [], []]",4
maskformer-base,1,,aten::softmax,"[[30, 16, 144, 144], [], []]",36
maskformer-base,1,,aten::softmax,"[[391, 4, 144, 144], [], []]",4
maskformer-base,1,,aten::softmax,"[[8, 100, 100], [], []]",12
maskformer-base,1,,aten::softmax,"[[8, 100, 850], [], []]",12
maskformer-base,1,,aten::softmax,"[[9, 32, 144, 144], [], []]",4
maskformer-base,1,,aten::stack,"[[], []]",4
maskformer-base,1,,aten::sub,"[[108, 1, 144], [108, 144, 1], []]",2
maskformer-base,1,,aten::sub,"[[30, 1, 144], [30, 144, 1], []]",18
maskformer-base,1,,aten::sub,"[[391, 1, 144], [391, 144, 1], []]",2
maskformer-base,1,,aten::sub,"[[9, 1, 144], [9, 144, 1], []]",2
maskformer-base,1,,aten::to,"[[1, 25, 34], [], [], [], []]",6
maskformer-base,1,,aten::to,"[[108, 144, 144], [], [], [], [], [], [], []]",2
maskformer-base,1,,aten::to,"[[128], [], [], [], [], [], [], []]",2
maskformer-base,1,,aten::to,"[[30, 144, 144], [], [], [], [], [], [], []]",18
maskformer-base,1,,aten::to,"[[391, 144, 144], [], [], [], [], [], [], []]",2
maskformer-base,1,,aten::to,"[[9, 144, 144], [], [], [], [], [], [], []]",2
maskformer-base,1,,aten::to,"[[], [], [], [], []]",48
maskformer-base,1,,aten::transpose,"[[1, 100, 8, 32], [], []]",48
maskformer-base,1,,aten::transpose,"[[1, 128, 54400], [], []]",2
maskformer-base,1,,aten::transpose,"[[1, 8, 100, 32], [], []]",24
maskformer-base,1,,aten::transpose,"[[1, 850, 1024], [], []]",2
maskformer-base,1,,aten::transpose,"[[1, 850, 8, 32], [], []]",24
maskformer-base,1,,aten::transpose,"[[1024, 1024], [], []]",16
maskformer-base,1,,aten::transpose,"[[1024, 2048], [], []]",2
maskformer-base,1,,aten::transpose,"[[1024, 256], [], []]",4
maskformer-base,1,,aten::transpose,"[[1024, 4096], [], []]",4
maskformer-base,1,,aten::transpose,"[[108, 8, 144, 32], [], []]",4
maskformer-base,1,,aten::transpose,"[[128, 128], [], []]",16
maskformer-base,1,,aten::transpose,"[[128, 512], [], []]",4
maskformer-base,1,,aten::transpose,"[[134, 256], [], []]",2
maskformer-base,1,,aten::transpose,"[[2048, 256], [], []]",12
maskformer-base,1,,aten::transpose,"[[2048, 512], [], []]",36
maskformer-base,1,,aten::transpose,"[[256, 1024], [], []]",4
maskformer-base,1,,aten::transpose,"[[256, 2048], [], []]",12
maskformer-base,1,,aten::transpose,"[[256, 256], [], []]",118
maskformer-base,1,,aten::transpose,"[[256, 512], [], []]",2
maskformer-base,1,,aten::transpose,"[[30, 16, 144, 32], [], []]",36
maskformer-base,1,,aten::transpose,"[[391, 4, 144, 32], [], []]",4
maskformer-base,1,,aten::transpose,"[[4096, 1024], [], []]",4
maskformer-base,1,,aten::transpose,"[[512, 1024], [], []]",2
maskformer-base,1,,aten::transpose,"[[512, 128], [], []]",4
maskformer-base,1,,aten::transpose,"[[512, 2048], [], []]",36
maskformer-base,1,,aten::transpose,"[[512, 512], [], []]",144
maskformer-base,1,,aten::transpose,"[[8, 100, 32], [], []]",12
maskformer-base,1,,aten::transpose,"[[8, 850, 32], [], []]",12
maskformer-base,1,,aten::transpose,"[[9, 32, 144, 32], [], []]",4
maskformer-base,1,,aten::type_as,"[[128], [1, 256, 25, 34]]",2
maskformer-base,1,,aten::unsqueeze,"[[1, 100, 256, 1], []]",2
maskformer-base,1,,aten::unsqueeze,"[[1, 100, 256], []]",2
maskformer-base,1,,aten::unsqueeze,"[[1, 1024, 850], []]",2
maskformer-base,1,,aten::unsqueeze,"[[1, 25, 34, 64], []]",8
maskformer-base,1,,aten::unsqueeze,"[[1, 25, 34], []]",4
maskformer-base,1,,aten::unsqueeze,"[[1, 256, 200, 272], []]",2
maskformer-base,1,,aten::unsqueeze,"[[100, 256], []]",2
maskformer-base,1,,aten::unsqueeze,"[[108, 1, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[108, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[108, 144], []]",4
maskformer-base,1,,aten::unsqueeze,"[[16, 144, 144], []]",36
maskformer-base,1,,aten::unsqueeze,"[[30, 1, 144, 144], []]",18
maskformer-base,1,,aten::unsqueeze,"[[30, 144, 144], []]",18
maskformer-base,1,,aten::unsqueeze,"[[30, 144], []]",36
maskformer-base,1,,aten::unsqueeze,"[[32, 144, 144], []]",4
maskformer-base,1,,aten::unsqueeze,"[[391, 1, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[391, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[391, 144], []]",4
maskformer-base,1,,aten::unsqueeze,"[[4, 144, 144], []]",4
maskformer-base,1,,aten::unsqueeze,"[[8, 144, 144], []]",4
maskformer-base,1,,aten::unsqueeze,"[[9, 1, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[9, 144, 144], []]",2
maskformer-base,1,,aten::unsqueeze,"[[9, 144], []]",4
maskformer-base,1,,aten::upsample_nearest2d,"[[1, 256, 100, 136], [], []]",2
maskformer-base,1,,aten::upsample_nearest2d,"[[1, 256, 25, 34], [], []]",2
maskformer-base,1,,aten::upsample_nearest2d,"[[1, 256, 50, 68], [], []]",2
maskformer-base,1,,aten::view,"[[1, 100, 136, 256], []]",4
maskformer-base,1,,aten::view,"[[1, 100, 136, 512], []]",2
maskformer-base,1,,aten::view,"[[1, 100, 200, 272, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 100, 2048], []]",12
maskformer-base,1,,aten::view,"[[1, 100, 256], []]",140
maskformer-base,1,,aten::view,"[[1, 100, 54400], []]",2
maskformer-base,1,,aten::view,"[[1, 1024, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 1024, 850], []]",2
maskformer-base,1,,aten::view,"[[1, 108, 144, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 108, 144, 256], []]",4
maskformer-base,1,,aten::view,"[[1, 108, 8, 144, 144], []]",2
maskformer-base,1,,aten::view,"[[1, 128, 200, 272], []]",2
maskformer-base,1,,aten::view,"[[1, 128, 54400], []]",2
maskformer-base,1,,aten::view,"[[1, 13600, 1024], []]",4
maskformer-base,1,,aten::view,"[[1, 13600, 256], []]",10
maskformer-base,1,,aten::view,"[[1, 13600, 512], []]",2
maskformer-base,1,,aten::view,"[[1, 17, 12, 23, 12, 128], []]",4
maskformer-base,1,,aten::view,"[[1, 17, 23, 12, 12, 128], []]",4
maskformer-base,1,,aten::view,"[[1, 17, 23, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 200, 272, 128], []]",4
maskformer-base,1,,aten::view,"[[1, 204, 276, 128], []]",4
maskformer-base,1,,aten::view,"[[1, 204, 276, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 25, 34, 1024], []]",4
maskformer-base,1,,aten::view,"[[1, 25, 34, 2048], []]",2
maskformer-base,1,,aten::view,"[[1, 25, 34, 64, 2], []]",4
maskformer-base,1,,aten::view,"[[1, 256, 100, 136], []]",8
maskformer-base,1,,aten::view,"[[1, 256, 13600], []]",2
maskformer-base,1,,aten::view,"[[1, 256, 200, 272], []]",8
maskformer-base,1,,aten::view,"[[1, 256, 25, 34], []]",8
maskformer-base,1,,aten::view,"[[1, 256, 50, 68], []]",8
maskformer-base,1,,aten::view,"[[1, 256], []]",28
maskformer-base,1,,aten::view,"[[1, 3, 12, 3, 12, 1024], []]",4
maskformer-base,1,,aten::view,"[[1, 3, 3, 12, 12, 1024], []]",4
maskformer-base,1,,aten::view,"[[1, 3, 3, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 30, 16, 144, 144], []]",18
maskformer-base,1,,aten::view,"[[1, 3400, 1024], []]",2
maskformer-base,1,,aten::view,"[[1, 3400, 2048], []]",36
maskformer-base,1,,aten::view,"[[1, 3400, 512], []]",74
maskformer-base,1,,aten::view,"[[1, 36, 36, 1024], []]",4
maskformer-base,1,,aten::view,"[[1, 36, 36, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 391, 4, 144, 144], []]",2
maskformer-base,1,,aten::view,"[[1, 5, 12, 6, 12, 512], []]",36
maskformer-base,1,,aten::view,"[[1, 5, 6, 12, 12, 1], []]",18
maskformer-base,1,,aten::view,"[[1, 5, 6, 12, 12, 512], []]",36
maskformer-base,1,,aten::view,"[[1, 50, 68, 1024], []]",2
maskformer-base,1,,aten::view,"[[1, 50, 68, 512], []]",36
maskformer-base,1,,aten::view,"[[1, 512, 3400], []]",2
maskformer-base,1,,aten::view,"[[1, 54400, 128], []]",10
maskformer-base,1,,aten::view,"[[1, 54400, 512], []]",4
maskformer-base,1,,aten::view,"[[1, 60, 72, 1], []]",18
maskformer-base,1,,aten::view,"[[1, 60, 72, 512], []]",36
maskformer-base,1,,aten::view,"[[1, 8, 100, 32], []]",48
maskformer-base,1,,aten::view,"[[1, 8, 850, 32], []]",24
maskformer-base,1,,aten::view,"[[1, 850, 1024], []]",8
maskformer-base,1,,aten::view,"[[1, 850, 2048], []]",2
maskformer-base,1,,aten::view,"[[1, 850, 256], []]",24
maskformer-base,1,,aten::view,"[[1, 850, 4096], []]",4
maskformer-base,1,,aten::view,"[[1, 9, 12, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[1, 9, 12, 12, 12, 256], []]",8
maskformer-base,1,,aten::view,"[[1, 9, 32, 144, 144], []]",2
maskformer-base,1,,aten::view,"[[100, 134], []]",2
maskformer-base,1,,aten::view,"[[100, 2048], []]",12
maskformer-base,1,,aten::view,"[[100, 256, 1, 1, 1], []]",2
maskformer-base,1,,aten::view,"[[100, 256], []]",90
maskformer-base,1,,aten::view,"[[100], []]",76
maskformer-base,1,,aten::view,"[[108, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[108, 12, 12, 256], []]",8
maskformer-base,1,,aten::view,"[[108, 144, 256], []]",32
maskformer-base,1,,aten::view,"[[108, 144, 8, 32], []]",4
maskformer-base,1,,aten::view,"[[108, 8, 144, 144], []]",6
maskformer-base,1,,aten::view,"[[128], []]",2
maskformer-base,1,,aten::view,"[[1296, 1024], []]",16
maskformer-base,1,,aten::view,"[[13600, 1024], []]",4
maskformer-base,1,,aten::view,"[[13600, 256], []]",4
maskformer-base,1,,aten::view,"[[13600], []]",24
maskformer-base,1,,aten::view,"[[144, 144], []]",48
maskformer-base,1,,aten::view,"[[15552, 256], []]",16
maskformer-base,1,,aten::view,"[[20736, 16], []]",36
maskformer-base,1,,aten::view,"[[20736, 32], []]",4
maskformer-base,1,,aten::view,"[[20736, 4], []]",4
maskformer-base,1,,aten::view,"[[20736, 8], []]",4
maskformer-base,1,,aten::view,"[[20736], []]",48
maskformer-base,1,,aten::view,"[[256, 1, 200, 272, 1], []]",2
maskformer-base,1,,aten::view,"[[256], []]",4
maskformer-base,1,,aten::view,"[[30, 12, 12, 1], []]",18
maskformer-base,1,,aten::view,"[[30, 12, 12, 512], []]",72
maskformer-base,1,,aten::view,"[[30, 144, 16, 32], []]",36
maskformer-base,1,,aten::view,"[[30, 144, 512], []]",288
maskformer-base,1,,aten::view,"[[30, 16, 144, 144], []]",54
maskformer-base,1,,aten::view,"[[3400, 2048], []]",36
maskformer-base,1,,aten::view,"[[3400, 512], []]",36
maskformer-base,1,,aten::view,"[[3400], []]",152
maskformer-base,1,,aten::view,"[[391, 12, 12, 128], []]",8
maskformer-base,1,,aten::view,"[[391, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[391, 144, 128], []]",32
maskformer-base,1,,aten::view,"[[391, 144, 4, 32], []]",4
maskformer-base,1,,aten::view,"[[391, 4, 144, 144], []]",6
maskformer-base,1,,aten::view,"[[4320, 512], []]",144
maskformer-base,1,,aten::view,"[[54400, 128], []]",4
maskformer-base,1,,aten::view,"[[54400, 512], []]",4
maskformer-base,1,,aten::view,"[[54400], []]",24
maskformer-base,1,,aten::view,"[[56304, 128], []]",16
maskformer-base,1,,aten::view,"[[8, 100, 32], []]",24
maskformer-base,1,,aten::view,"[[850, 1024], []]",4
maskformer-base,1,,aten::view,"[[850, 4096], []]",4
maskformer-base,1,,aten::view,"[[850], []]",28
maskformer-base,1,,aten::view,"[[9, 12, 12, 1024], []]",8
maskformer-base,1,,aten::view,"[[9, 12, 12, 1], []]",2
maskformer-base,1,,aten::view,"[[9, 144, 1024], []]",32
maskformer-base,1,,aten::view,"[[9, 144, 32, 32], []]",4
maskformer-base,1,,aten::view,"[[9, 32, 144, 144], []]",6
maskformer-base,1,,aten::zeros,"[[], [], [], [], []]",26
maskformer-base,1,,aten::zeros_like,"[[1, 100, 256], [], [], [], [], []]",2
maskformer-base,1,,cudadevicesynchronize,[],3
maskrcnn,1,,aten::__and__,"[[0], [0]]",50
maskrcnn,1,,aten::__and__,"[[4507], [4507]]",50
maskrcnn,1,,aten::add,"[[0, 91], [0, 1], []]",100
maskrcnn,1,,aten::add,"[[0, 91], [0, 91], []]",100
maskrcnn,1,,aten::add,"[[0], [0], []]",300
maskrcnn,1,,aten::add,"[[0], [], []]",200
maskrcnn,1,,aten::add,"[[1, 1000], [], []]",200
maskrcnn,1,,aten::add,"[[1, 1024, 1, 1], [], []]",350
maskrcnn,1,,aten::add,"[[1, 1024, 50, 50], [1, 1024, 1, 1], []]",350
maskrcnn,1,,aten::add,"[[1, 128, 1, 1], [], []]",400
maskrcnn,1,,aten::add,"[[1, 128, 100, 100], [1, 128, 1, 1], []]",350
maskrcnn,1,,aten::add,"[[1, 128, 200, 200], [1, 128, 1, 1], []]",50
maskrcnn,1,,aten::add,"[[1, 2048, 1, 1], [], []]",200
maskrcnn,1,,aten::add,"[[1, 2048, 25, 25], [1, 2048, 1, 1], []]",200
maskrcnn,1,,aten::add,"[[1, 256, 1, 1], [], []]",800
maskrcnn,1,,aten::add,"[[1, 256, 100, 100], [1, 256, 1, 1], []]",50
maskrcnn,1,,aten::add,"[[1, 256, 100, 100], [1, 256, 100, 100], []]",50
maskrcnn,1,,aten::add,"[[1, 256, 200, 200], [1, 256, 1, 1], []]",200
maskrcnn,1,,aten::add,"[[1, 256, 200, 200], [1, 256, 200, 200], []]",50
maskrcnn,1,,aten::add,"[[1, 256, 50, 50], [1, 256, 1, 1], []]",550
maskrcnn,1,,aten::add,"[[1, 256, 50, 50], [1, 256, 50, 50], []]",50
maskrcnn,1,,aten::add,"[[1, 507], [], []]",50
maskrcnn,1,,aten::add,"[[1, 512, 1, 1], [], []]",550
maskrcnn,1,,aten::add,"[[1, 512, 100, 100], [1, 512, 1, 1], []]",250
maskrcnn,1,,aten::add,"[[1, 512, 25, 25], [1, 512, 1, 1], []]",250
maskrcnn,1,,aten::add,"[[1, 512, 50, 50], [1, 512, 1, 1], []]",50
maskrcnn,1,,aten::add,"[[1, 64, 1, 1], [], []]",350
maskrcnn,1,,aten::add,"[[1, 64, 200, 200], [1, 64, 1, 1], []]",300
maskrcnn,1,,aten::add,"[[1, 64, 400, 400], [1, 64, 1, 1], []]",50
maskrcnn,1,,aten::add,"[[10000, 1, 4], [1, 3, 4], []]",50
maskrcnn,1,,aten::add,"[[159882, 1], [159882, 1], []]",200
maskrcnn,1,,aten::add,"[[159882], [159882], []]",100
maskrcnn,1,,aten::add,"[[169, 1, 4], [1, 3, 4], []]",50
maskrcnn,1,,aten::add,"[[2500, 1, 4], [1, 3, 4], []]",50
maskrcnn,1,,aten::add,"[[40000, 1, 4], [1, 3, 4], []]",50
maskrcnn,1,,aten::add,"[[625, 1, 4], [1, 3, 4], []]",50
maskrcnn,1,,aten::add_,"[[0, 256, 14, 14], [], []]",250
maskrcnn,1,,aten::add_,"[[0, 256, 28, 28], [], []]",50
maskrcnn,1,,aten::add_,"[[1, 1024, 50, 50], [1, 1024, 50, 50], []]",300
maskrcnn,1,,aten::add_,"[[1, 12, 100, 100], [1, 12, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 12, 13, 13], [1, 12, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 12, 200, 200], [1, 12, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 12, 25, 25], [1, 12, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 12, 50, 50], [1, 12, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 2048, 25, 25], [1, 2048, 25, 25], []]",150
maskrcnn,1,,aten::add_,"[[1, 256, 100, 100], [1, 256, 1, 1], []]",150
maskrcnn,1,,aten::add_,"[[1, 256, 13, 13], [1, 256, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 256, 200, 200], [1, 256, 1, 1], []]",150
maskrcnn,1,,aten::add_,"[[1, 256, 200, 200], [1, 256, 200, 200], []]",150
maskrcnn,1,,aten::add_,"[[1, 256, 25, 25], [1, 256, 1, 1], []]",150
maskrcnn,1,,aten::add_,"[[1, 256, 50, 50], [1, 256, 1, 1], []]",150
maskrcnn,1,,aten::add_,"[[1, 3, 100, 100], [1, 3, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 3, 13, 13], [1, 3, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 3, 200, 200], [1, 3, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 3, 25, 25], [1, 3, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 3, 50, 50], [1, 3, 1, 1], []]",50
maskrcnn,1,,aten::add_,"[[1, 512, 100, 100], [1, 512, 100, 100], []]",200
maskrcnn,1,,aten::arange,"[[], [], [], [0]]",650
maskrcnn,1,,aten::arange,"[[], [], [], [], [], []]",500
maskrcnn,1,,aten::arange,"[[], [], [], [], []]",150
maskrcnn,1,,aten::cat,"[[], []]",1300
maskrcnn,1,,aten::clamp,"[[0, 182], [], []]",100
maskrcnn,1,,aten::clamp,"[[0, 91], [], []]",100
maskrcnn,1,,aten::clamp,"[[0], [], []]",100
maskrcnn,1,,aten::clamp,"[[159882, 1], [], []]",100
maskrcnn,1,,aten::clamp,"[[4507, 2], [], []]",100
maskrcnn,1,,aten::copy_,"[[0, 1, 28, 28], [0, 1, 28, 28], []]",50
maskrcnn,1,,aten::copy_,"[[0, 4], [0, 4], []]",150
maskrcnn,1,,aten::copy_,"[[0], [0], []]",300
maskrcnn,1,,aten::copy_,"[[1, 100, 100, 3, 1], [1, 100, 100, 3, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 100, 100, 3, 4], [1, 100, 100, 3, 4], []]",50
maskrcnn,1,,aten::copy_,"[[1, 13, 13, 3, 1], [1, 13, 13, 3, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 13, 13, 3, 4], [1, 13, 13, 3, 4], []]",50
maskrcnn,1,,aten::copy_,"[[1, 200, 200, 3, 1], [1, 200, 200, 3, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 200, 200, 3, 4], [1, 200, 200, 3, 4], []]",50
maskrcnn,1,,aten::copy_,"[[1, 25, 25, 3, 1], [1, 25, 25, 3, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 25, 25, 3, 4], [1, 25, 25, 3, 4], []]",50
maskrcnn,1,,aten::copy_,"[[1, 3, 224, 224], [1, 3, 224, 224], []]",50
maskrcnn,1,,aten::copy_,"[[1, 4507, 1], [1, 4507, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 4507], [1, 4507], []]",100
maskrcnn,1,,aten::copy_,"[[1, 50, 50, 3, 1], [1, 50, 50, 3, 1], []]",50
maskrcnn,1,,aten::copy_,"[[1, 50, 50, 3, 4], [1, 50, 50, 3, 4], []]",50
maskrcnn,1,,aten::copy_,"[[100, 100], [100, 100], []]",100
maskrcnn,1,,aten::copy_,"[[13, 13], [13, 13], []]",100
maskrcnn,1,,aten::copy_,"[[200, 200], [200, 200], []]",100
maskrcnn,1,,aten::copy_,"[[25, 25], [25, 25], []]",100
maskrcnn,1,,aten::copy_,"[[3, 800, 800], [3, 800, 800], []]",50
maskrcnn,1,,aten::copy_,"[[3], [3], []]",100
maskrcnn,1,,aten::copy_,"[[50, 50], [50, 50], []]",100
maskrcnn,1,,aten::copy_,"[[], [], []]",400
maskrcnn,1,,aten::detach,"[[159882, 1]]",50
maskrcnn,1,,aten::detach,"[[159882, 4]]",50
maskrcnn,1,,aten::detach_,[[]],500
maskrcnn,1,,aten::div,"[[0, 91], []]",200
maskrcnn,1,,aten::div,"[[0], []]",100
maskrcnn,1,,aten::div,"[[159882, 1], []]",200
maskrcnn,1,,aten::div,"[[3, 224, 224], [3, 1, 1]]",50
maskrcnn,1,,aten::div,"[[], []]",100
maskrcnn,1,,aten::empty,"[[], [], [], [], [], []]",3900
maskrcnn,1,,aten::eq,"[[0], []]",400
maskrcnn,1,,aten::exp,"[[0, 91]]",100
maskrcnn,1,,aten::exp,"[[159882, 1]]",100
maskrcnn,1,,aten::expand_as,"[[1, 159882], [1, 159882]]",50
maskrcnn,1,,aten::expand_as,"[[1, 91], [0, 91]]",50
maskrcnn,1,,aten::fill_,"[[0, 1, 30, 30], []]",50
maskrcnn,1,,aten::fill_,"[[0, 1], []]",100
maskrcnn,1,,aten::fill_,"[[0, 256, 14, 14], []]",250
maskrcnn,1,,aten::fill_,"[[0, 256, 7, 7], []]",250
maskrcnn,1,,aten::fill_,"[[0, 4], []]",50
maskrcnn,1,,aten::fill_,"[[1, 3, 800, 800], []]",50
maskrcnn,1,,aten::fill_,"[[120000], []]",50
maskrcnn,1,,aten::fill_,"[[1875], []]",50
maskrcnn,1,,aten::fill_,"[[30000], []]",50
maskrcnn,1,,aten::fill_,"[[507], []]",50
maskrcnn,1,,aten::fill_,"[[7500], []]",50
maskrcnn,1,,aten::fill_,"[[], []]",500
maskrcnn,1,,aten::flatten,"[[0, 1024], [], []]",50
maskrcnn,1,,aten::flatten,"[[0, 256, 7, 7], [], []]",50
maskrcnn,1,,aten::flatten,"[[0, 91, 4], [], []]",50
